timestamp,Clocks / Second,GPU % Bus Busy,% Vertex Fetch Stall,% Texture Fetch Stall,L1 Texture Cache Miss Per Pixel,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,% Instruction Cache Miss,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Wave Context Occupancy,% Shaders Busy,% Shaders Stalled,Vertices Shaded / Second,Fragments Shaded / Second,Vertex Instructions / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Textures / Vertex,Textures / Fragment,ALU / Vertex,ALU / Fragment,EFU / Fragment,EFU / Vertex,% Time Shading Fragments,% Time Shading Vertices,% Time Compute,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,% Texture Pipes Busy,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),Avg Bytes / Fragment,Avg Bytes / Vertex,Preemptions / second,Avg Preemption Delay,GPU Frequency
11/29/2023 1:40:16 AM,201242544.0,47.179,1.473,50.935,0.367,30.99,7.244,12.058,0.0,800910.688,0.252,0.216,1.02,1582514.25,1128.675,91.827,86.377,17.643,817041.375,902293376.0,56092880.0,28739158016.0,12086032384.0,27170967552.0,3067643136.0,1.989,1.95,67.659,26.957,3.221,0.994,99.516,0.484,0.0,31.303,34.114,30.641,0.581,99.42,0.002,0.0,86.377,1811055744.0,974147008.0,1716467712.0,55732828.0,258728.953,0.85,68.213,144.38,2.857,525000000.0
11/29/2023 1:40:17 AM,200398176.0,47.958,1.291,52.339,0.37,30.939,7.288,16.556,0.0,800174.188,0.244,0.209,1.02,1581467.5,1116.394,91.762,86.421,21.495,815989.562,891676544.0,56064724.0,28685645824.0,12039879680.0,27158882304.0,3066325504.0,1.99,1.961,67.712,27.207,3.256,0.995,99.537,0.463,0.0,30.032,32.733,29.444,0.002,100.0,0.002,0.0,86.421,1751237120.0,838587584.0,1653791744.0,55822984.0,2497017.25,0.862,68.411,139.342,6.507,525000000.0
11/29/2023 1:40:18 AM,206503040.0,46.637,1.325,51.922,0.372,30.955,7.185,14.326,0.0,837813.5,0.241,0.207,1.001,1625096.125,1106.682,91.833,86.542,19.288,838589.812,925496704.0,57600300.0,29950070784.0,12503318528.0,28465012736.0,3214245632.0,1.99,1.969,67.692,27.359,3.289,0.995,99.535,0.465,0.0,30.835,33.609,30.348,0.002,99.958,0.002,0.051,86.542,1825502720.0,879180672.0,1721411200.0,57611088.0,2505896.25,0.855,68.7,144.317,20.063,525000000.0
11/29/2023 1:40:19 AM,216304896.0,50.952,1.318,52.299,0.358,30.741,7.785,15.382,0.0,800620.312,0.244,0.209,1.02,1582231.125,1169.135,91.919,86.891,20.113,816562.812,934321856.0,56094424.0,29206075392.0,12552271872.0,27171995648.0,3067805952.0,1.99,1.917,67.701,26.555,3.117,0.995,99.545,0.455,0.0,30.053,32.704,28.895,0.002,100.0,0.002,0.0,86.891,1927745664.0,1046856064.0,1830785664.0,55619872.0,1374022.625,0.892,68.115,139.41,6.562,525000000.0
11/29/2023 1:40:20 AM,207971120.0,49.696,1.314,53.019,0.369,30.904,7.29,14.806,0.0,800499.5,0.244,0.209,1.02,1582110.5,1116.394,91.656,86.264,19.593,816321.312,892038976.0,56087520.0,28697309184.0,12044775424.0,27169925120.0,3067572224.0,1.99,1.961,67.712,27.207,3.256,0.995,99.537,0.463,0.0,29.683,32.353,29.101,0.002,100.0,0.002,0.0,86.264,1881610112.0,1036593920.0,1781903616.0,55620096.0,3628519.5,0.861,68.135,139.399,13.502,525000000.0
11/29/2023 1:40:21 AM,207086752.0,48.69,1.414,53.33,0.372,30.952,7.188,13.256,0.0,838864.625,0.249,0.214,1.038,1688736.0,1103.678,91.643,87.225,18.343,871118.688,924046080.0,59880676.0,29930074112.0,12498138112.0,28442159104.0,3210855936.0,1.991,1.972,67.744,27.345,3.286,0.996,99.529,0.471,0.0,29.978,32.701,29.531,0.002,100.0,0.002,0.0,87.225,1960891136.0,1064454336.0,1862559872.0,59429812.0,1391035.25,0.855,68.222,149.278,3.796,525000000.0
11/29/2023 1:40:22 AM,204522304.0,50.323,1.329,51.896,0.362,30.816,7.615,13.516,0.0,800621.938,0.244,0.209,1.02,1582273.75,1151.556,91.836,87.078,18.331,816525.062,920275072.0,56095060.0,29038000128.0,12383746048.0,27172728832.0,3067888640.0,1.99,1.931,67.705,26.766,3.162,0.995,99.547,0.453,0.0,30.771,33.503,29.777,0.002,100.0,0.002,0.0,87.078,1952527616.0,1027828160.0,1856316672.0,55775604.0,1374059.625,0.882,68.309,139.414,3.623,525000000.0
11/29/2023 1:40:23 AM,204354896.0,50.183,1.384,52.23,0.373,30.973,7.163,14.705,0.0,818707.688,0.247,0.212,1.039,1649034.25,1101.44,91.784,86.019,19.23,850667.062,900178176.0,58456712.0,29191772160.0,12177812480.0,27760166912.0,3133875712.0,1.991,1.974,67.723,27.376,3.292,0.995,99.517,0.483,0.0,30.47,33.233,30.032,0.002,100.0,0.002,0.0,86.019,1923855616.0,1023608448.0,1826012288.0,57784468.0,3630744.75,0.854,67.928,144.365,11.853,525000000.0
11/29/2023 1:40:24 AM,225061392.0,48.388,1.315,50.886,0.361,31.034,7.37,14.296,0.0,857738.25,0.276,0.236,1.021,1693981.125,1153.589,91.597,84.281,19.975,875515.188,987527232.0,60023444.0,30947049472.0,13129094144.0,29071630336.0,3282140672.0,1.986,1.929,67.565,26.547,3.149,0.993,99.544,0.456,0.0,29.496,32.134,28.669,1.071,98.951,0.002,0.0,84.281,1992630784.0,1177587456.0,1884996480.0,59544140.0,3670246.0,0.852,68.01,169.02,33.067,525000000.0
11/29/2023 1:40:25 AM,210134560.0,49.283,1.334,50.982,0.363,30.933,7.425,14.319,0.0,800858.312,0.252,0.216,1.02,1582371.5,1146.248,91.741,84.742,19.245,817027.438,916281408.0,56088696.0,28905400320.0,12253775872.0,27168516096.0,3067366400.0,1.989,1.935,67.655,26.739,3.174,0.994,99.532,0.468,0.0,30.074,32.757,29.246,0.577,99.425,0.002,0.0,84.742,1895362688.0,1066864960.0,1792784640.0,55602908.0,4754830.5,0.862,68.055,144.367,21.302,525000000.0
