Timestamp,BATTERY_HEALTH_COLD,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_LEVEL
1701263642732,-2147483648,-854980,18
1701263642842,-2147483648,-854980,18
1701263642946,-2147483648,-854980,18
1701263643052,-2147483648,-854980,18
1701263643159,-2147483648,-854980,18
1701263643262,-2147483648,-854980,18
1701263643374,-2147483648,-854980,18
1701263643479,-2147483648,-854980,18
1701263643582,-2147483648,-854980,18
1701263643688,-2147483648,-800780,18
1701263643791,-2147483648,-800780,18
1701263643897,-2147483648,-800780,18
1701263644001,-2147483648,-800780,18
1701263644105,-2147483648,-800780,18
1701263644217,-2147483648,-800780,18
1701263644320,-2147483648,-800780,18
1701263644424,-2147483648,-800780,18
1701263644529,-2147483648,-800780,18
1701263644633,-2147483648,-800780,18
1701263644736,-2147483648,-779784,18
1701263644841,-2147483648,-779784,18
1701263644944,-2147483648,-779784,18
1701263645051,-2147483648,-779784,18
1701263645155,-2147483648,-779784,18
1701263645259,-2147483648,-779784,18
1701263645362,-2147483648,-779784,18
1701263645466,-2147483648,-779784,18
1701263645571,-2147483648,-779784,18
1701263645675,-2147483648,-804198,18
1701263645779,-2147483648,-804198,18
1701263645882,-2147483648,-804198,18
1701263645986,-2147483648,-804198,18
1701263646096,-2147483648,-804198,18
1701263646200,-2147483648,-804198,18
1701263646305,-2147483648,-804198,18
1701263646409,-2147483648,-804198,18
1701263646525,-2147483648,-804198,18
1701263646630,-2147483648,-804198,18
1701263646734,-2147483648,-797362,18
1701263646837,-2147483648,-797362,18
1701263646941,-2147483648,-797362,18
1701263647045,-2147483648,-797362,18
1701263647150,-2147483648,-797362,18
1701263647254,-2147483648,-797362,18
1701263647357,-2147483648,-797362,18
1701263647461,-2147483648,-797362,18
1701263647565,-2147483648,-797362,18
1701263647671,-2147483648,-795409,18
1701263647775,-2147483648,-795409,18
1701263647880,-2147483648,-795409,18
1701263647983,-2147483648,-795409,18
1701263648088,-2147483648,-795409,18
1701263648193,-2147483648,-795409,18
1701263648297,-2147483648,-795409,18
1701263648400,-2147483648,-795409,18
1701263648504,-2147483648,-795409,18
1701263648609,-2147483648,-795409,18
1701263648714,-2147483648,-836913,18
1701263648817,-2147483648,-836913,18
1701263648922,-2147483648,-836913,18
1701263649025,-2147483648,-836913,18
1701263649130,-2147483648,-836913,18
1701263649239,-2147483648,-836913,18
1701263649343,-2147483648,-836913,18
1701263649446,-2147483648,-836913,18
1701263649552,-2147483648,-836913,18
1701263649655,-2147483648,-843261,18
1701263649761,-2147483648,-843261,18
1701263649865,-2147483648,-843261,18
1701263649971,-2147483648,-843261,18
1701263650076,-2147483648,-843261,18
1701263650180,-2147483648,-843261,18
1701263650283,-2147483648,-843261,18
1701263650387,-2147483648,-843261,18
1701263650492,-2147483648,-843261,18
1701263650595,-2147483648,-843261,18
1701263650699,-2147483648,-806151,18
1701263650808,-2147483648,-806151,18
1701263650914,-2147483648,-806151,18
1701263651018,-2147483648,-806151,18
1701263651124,-2147483648,-806151,18
1701263651227,-2147483648,-806151,18
1701263651335,-2147483648,-806151,18
1701263651439,-2147483648,-806151,18
1701263651542,-2147483648,-806151,18
1701263651646,-2147483648,-832519,18
1701263651752,-2147483648,-832519,18
1701263651856,-2147483648,-832519,18
1701263651960,-2147483648,-832519,18
1701263652064,-2147483648,-832519,18
1701263652171,-2147483648,-832519,18
1701263652274,-2147483648,-832519,18
1701263652378,-2147483648,-832519,18
1701263652481,-2147483648,-832519,18
1701263652585,-2147483648,-832519,18
1701263652691,-2147483648,-833495,18
1701263652796,-2147483648,-833495,18
1701263652900,-2147483648,-833495,18
1701263653003,-2147483648,-833495,18
1701263653106,-2147483648,-833495,18
1701263653217,-2147483648,-833495,18
1701263653324,-2147483648,-833495,18
1701263653427,-2147483648,-833495,18
1701263653533,-2147483648,-833495,18
1701263653636,-2147483648,-842284,18
1701263653741,-2147483648,-842284,18
1701263653845,-2147483648,-842284,18
1701263653949,-2147483648,-842284,18
1701263654055,-2147483648,-842284,18
1701263654159,-2147483648,-842284,18
1701263654263,-2147483648,-842284,18
1701263654366,-2147483648,-842284,18
1701263654474,-2147483648,-842284,18
1701263654577,-2147483648,-842284,18
1701263654681,-2147483648,-843749,18
1701263654784,-2147483648,-843749,18
1701263654889,-2147483648,-843749,18
1701263654993,-2147483648,-843749,18
1701263655097,-2147483648,-843749,18
1701263655202,-2147483648,-843749,18
1701263655305,-2147483648,-843749,18
1701263655410,-2147483648,-843749,18
1701263655514,-2147483648,-843749,18
1701263655618,-2147483648,-733886,18
1701263655721,-2147483648,-733886,18
1701263655825,-2147483648,-733886,18
1701263655932,-2147483648,-733886,18
1701263656036,-2147483648,-733886,18
1701263656141,-2147483648,-733886,18
1701263656245,-2147483648,-733886,18
1701263656348,-2147483648,-733886,18
1701263656453,-2147483648,-733886,18
1701263656557,-2147483648,-733886,18
1701263656661,-2147483648,-853515,18
1701263656765,-2147483648,-853515,18
1701263656870,-2147483648,-853515,18
1701263656974,-2147483648,-853515,18
1701263657080,-2147483648,-853515,18
1701263657183,-2147483648,-853515,18
1701263657288,-2147483648,-853515,18
1701263657398,-2147483648,-853515,18
1701263657501,-2147483648,-853515,18
1701263657605,-2147483648,-853515,18
1701263657710,-2147483648,-845214,18
1701263657815,-2147483648,-845214,18
1701263657919,-2147483648,-845214,18
1701263658022,-2147483648,-845214,18
1701263658128,-2147483648,-845214,18
1701263658232,-2147483648,-845214,18
1701263658336,-2147483648,-845214,18
1701263658440,-2147483648,-845214,18
1701263658544,-2147483648,-845214,18
1701263658647,-2147483648,-863769,18
1701263658757,-2147483648,-863769,18
1701263658864,-2147483648,-863769,18
1701263658969,-2147483648,-863769,18
1701263659074,-2147483648,-863769,18
1701263659177,-2147483648,-863769,18
1701263659281,-2147483648,-863769,18
1701263659384,-2147483648,-863769,18
1701263659490,-2147483648,-863769,18
1701263659593,-2147483648,-863769,18
1701263659698,-2147483648,-808593,18
1701263659801,-2147483648,-808593,18
1701263659905,-2147483648,-808593,18
1701263660016,-2147483648,-808593,18
1701263660120,-2147483648,-808593,18
1701263660224,-2147483648,-808593,18
1701263660328,-2147483648,-808593,18
1701263660434,-2147483648,-808593,18
1701263660537,-2147483648,-808593,18
1701263660641,-2147483648,-822753,18
1701263660745,-2147483648,-822753,18
1701263660850,-2147483648,-822753,18
1701263660953,-2147483648,-822753,18
1701263661057,-2147483648,-822753,18
1701263661161,-2147483648,-822753,18
1701263661264,-2147483648,-822753,18
1701263661370,-2147483648,-822753,18
1701263661474,-2147483648,-822753,18
1701263661578,-2147483648,-822753,18
1701263661681,-2147483648,-837401,18
1701263661786,-2147483648,-837401,18
1701263661892,-2147483648,-837401,18
1701263661996,-2147483648,-837401,18
1701263662100,-2147483648,-837401,18
1701263662208,-2147483648,-837401,18
1701263662312,-2147483648,-837401,18
1701263662416,-2147483648,-837401,18
1701263662521,-2147483648,-837401,18
1701263662624,-2147483648,-803710,18
1701263662736,-2147483648,-803710,18
1701263662841,-2147483648,-803710,18
1701263662944,-2147483648,-803710,18
1701263663048,-2147483648,-803710,18
1701263663153,-2147483648,-803710,18
1701263663257,-2147483648,-803710,18
1701263663361,-2147483648,-803710,18
1701263663464,-2147483648,-803710,18
1701263663570,-2147483648,-803710,18
1701263663674,-2147483648,-820312,18
1701263663778,-2147483648,-820312,18
1701263663882,-2147483648,-820312,18
1701263663986,-2147483648,-820312,18
1701263664092,-2147483648,-820312,18
1701263664197,-2147483648,-820312,18
1701263664300,-2147483648,-820312,18
1701263664404,-2147483648,-820312,18
1701263664507,-2147483648,-820312,18
1701263664613,-2147483648,-800780,18
1701263664716,-2147483648,-800780,18
1701263664820,-2147483648,-800780,18
1701263664923,-2147483648,-800780,18
1701263665027,-2147483648,-800780,18
1701263665132,-2147483648,-800780,18
1701263665236,-2147483648,-800780,18
1701263665340,-2147483648,-800780,18
1701263665443,-2147483648,-800780,18
1701263665546,-2147483648,-800780,18
1701263665651,-2147483648,-826171,18
1701263665755,-2147483648,-826171,18
1701263665858,-2147483648,-826171,18
